Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Consumer Cyclical,CHPT,STRONG_SELL,STRONG_SELL,12.69,13.69,32.51,8.5,,-24.882353,0.19,7.173544,,0.49295,2022-03-09 00:00:00,STRONG_SELL - 0|16|10,STRONG_SELL - 0|16|10,SELL - 3|13|10,SELL - 1|13|10,Bearish : 37.62,SELL,SELL,Oversold : 6.91,Oversold : 13.59,Weak Trend : 20.54,Bearish : -159.86,Bearish : -0.63,Bearish : -2.77,Bearish : -0.13,Bullish : 0.14,36.33,15.28,-2.178,-0.51,ChargePoint Holdings. Inc.,Watchlist,100,4.35,2.1,1269.0,buy,0.938,,2.455,-0.28407,-0.42519,5.346,2.069
Healthcare,AMGN,STRONG_BUY,STRONG_BUY,245.55,243.3,258.45,198.64,24.239882,12.937303,1.96,143.17784,-0.103,0.81187,2022-08-01 10:59:00,STRONG_BUY - 18|0|8,BUY - 11|5|10,BUY - 16|2|8,STRONG_BUY - 16|1|9,Bullish  : 57.31,BUY,SELL,Bullish : 56.59,Bullish : 60.65,Weak Trend : 20.32,Bullish  : 58.68,Bullish : 3.18,Bullish : 0.02,Bullish : 0.92,Bullish : 0.65,57.04,247.05,10.13,18.98,Amgen Inc.,Watchlist,100,6.1,2.6,24555.0,hold,12.25,-0.053,1.437,0.09907,1.11668,4023.362,0.902
Healthcare,JNJ,NEUTRAL,STRONG_BUY,179.52,177.51,186.69,155.72,26.83007,17.294798,3.17,6.7251067,-0.169,0.70428,2022-04-18 00:00:00,STRONG_BUY - 16|1|9,STRONG_BUY - 17|0|9,BUY - 14|2|10,BUY - 15|2|9,Bullish  : 58.61,SELL,SELL,Bullish : 45.26,Bullish : 46.68,Weak Trend : 19.72,Neutral : 42.33,Bullish : 2.34,Bearish : -2.96,Bullish : 0.97,Bullish : 1.0,61.61,181.91,6.691,10.38,Johnson & Johnson,Watchlist,100,2.15,2.3,17952.0,buy,11.548,-0.168,1.393,0.08957,0.28219,44.369,1.06
Communication Services,T,STRONG_BUY,STRONG_BUY,21.31,20.96,22.15,16.63,165.1938,6.638629,-1.98,0.92906654,-0.363,0.54799,2022-04-20 00:00:00,STRONG_BUY - 16|1|9,STRONG_BUY - 16|0|10,STRONG_BUY - 16|0|10,BUY - 15|2|9,Bullish  : 66.35,BUY,BUY,Overbrought : 92.14,Overbrought : 90.61,Strong Trend : 32.86,Bullish  : 112.21,Bullish : 0.67,Bullish : 0.31,Bullish : 0.24,Bullish : 0.15,63.84,20.81,0.129,3.21,AT&T Inc.,Watchlist,100,1.24,2.6,2131.0,hold,5.387,-0.378,0.932,0.03879,0.10119,123.031,0.676
Healthcare,CI,STRONG_BUY,STRONG_BUY,268.03,263.52,273.58,191.74,11.155367,11.9336605,1.02,1.8733531,-0.73,0.90249,2022-02-02 00:00:00,STRONG_BUY - 16|1|9,BUY - 15|1|10,STRONG_BUY - 16|0|10,STRONG_BUY - 16|0|10,Bullish  : 62.82,BUY,SELL,Bullish : 65.39,Bullish : 66.63,Strong Trend : 25.26,Bullish  : 73.03,Bullish : 8.54,Bullish : 2.76,Bullish : 3.11,Bullish : 2.66,63.61,270.59,24.027,22.46,Cigna Corporation,Watchlist,100,2.42,2.2,26802.999999999996,buy,18.697,-0.704,0.829,0.03364,0.111,72.62,0.484
SPDR Select Sector Fund - Utili,XLU,STRONG_BUY,STRONG_BUY,71.85,70.13,77.23,63.28,7.185,,,,,,,STRONG_BUY - 16|0|10,STRONG_BUY - 17|0|9,BUY - 15|2|9,STRONG_BUY - 16|1|9,Bullish  : 67.76,BUY,BUY,Overbrought : 94.56,Overbrought : 93.5,Strong Trend : 26.26,Bullish  : 128.47,Bullish : 1.59,Bullish : 2.84,Bullish : 0.43,Bearish : -0.12,66.47,69.36,,,SPDR Select Sector Fund - Utili,Index,100,,,7184.999999999999,,,,,,,,
Consumer Defensive,KO,STRONG_BUY,STRONG_BUY,64.38,62.91,67.2,52.28,31.698671,26.493826,3.97,12.537487,0.239,0.70774,2022-04-18 00:00:00,STRONG_BUY - 16|0|10,STRONG_BUY - 16|0|10,BUY - 13|3|10,STRONG_BUY - 16|1|9,Bullish  : 70.77,BUY,BUY,Overbrought : 89.51,Overbrought : 82.33,Weak Trend : 23.76,Bullish  : 128.86,Bullish : 1.52,Bullish : 1.35,Bullish : 0.55,Bullish : 0.3,67.23,62.19,2.031,2.43,Coca-Cola Company (The),Call,100,2.04,2.1,6438.0,buy,2.391,0.231,1.179,0.08089,0.42064,155.363,0.798
Utilities,PNW,STRONG_BUY,STRONG_BUY,74.68,73.12,86.87,62.78,14.808645,19.002544,183.3,1.3891628,,0.90052,2022-02-22 00:00:00,STRONG_BUY - 16|0|10,STRONG_BUY - 16|0|10,BUY - 16|2|8,BUY - 12|5|9,Bullish  : 65.04,BUY,BUY,Overbrought : 93.86,Overbrought : 91.62,Weak Trend : 24.38,Bullish  : 102.21,Bullish : 2.08,Bullish : 2.91,Bullish : 0.62,Bullish : 0.06,62.38,71.55,5.043,3.93,Pinnacle West Capital Corporati,Watchlist,100,3.19,3.5,7468.000000000001,hold,0.088,,0.883,0.0273,0.10802,135.923,0.295
Healthcare,UNH,STRONG_BUY,STRONG_BUY,517.4,513.63,553.29,383.12,32.114704,23.898384,1.51,6.935192,0.034,0.89621,2022-04-13 00:00:00,STRONG_BUY - 16|0|10,BUY - 15|3|8,BUY - 12|4|10,STRONG_BUY - 17|1|8,Bullish  : 64.75,BUY,SELL,Overbrought : 84.79,Overbrought : 86.51,Strong Trend : 31.83,Bullish  : 81.34,Bullish : 25.41,Bullish : 21.06,Bullish : 9.15,Bullish : 7.39,64.11,518.37,16.111,21.65,UnitedHealth Group Incorporated,Watchlist,100,1.56,1.8,51740.0,buy,29.765,0.037,0.783,0.070879996,0.24154,61.165,0.536
Communication Services,VZ,STRONG_BUY,BUY,51.64,50.75,56.85,45.55,10.046693,9.304504,2.62,2.5891201,-0.127,0.64318,2022-07-22 07:30:00,STRONG_BUY - 16|0|10,BUY - 14|2|10,BUY - 12|4|10,NEUTRAL - 9|8|9,Bullish  : 61.03,BUY,SELL,Bullish : 47.7,Bullish : 42.64,Weak Trend : 18.88,Bullish  : 106.4,Bullish : 0.47,Bullish : 0.68,Bullish : 0.23,Bullish : 0.17,62.34,52.0,5.14,5.55,Verizon Communications Inc.,Watchlist,100,1.9,2.7,5164.0,hold,0.426,-0.139,0.764,0.050619997,0.27811,214.05,0.561
