
Following stocks are new BUY:
| Symbol     | ADX          |
|------------+--------------|
| MINDACORP  | Strong Trend |
| HEROMOTOCO | Strong Trend |
| SRTRANSFIN | Strong Trend |
| TORNTPHARM | Strong Trend |
| COROMANDEL | Weak Trend   |
| ADANIENT   | Weak Trend   |
| NESTLEIND  | Weak Trend   |
| UBL        | Weak Trend   |
| HINDUNILVR | Weak Trend   |
| GODREJCP   | Weak Trend   |
| AMBUJACEM  | Weak Trend   |
| PAGEIND    | Weak Trend   |
| EIDPARRY   | Weak Trend   |

Following stocks are new Sell:
| Symbol     | ADX          |
|------------+--------------|
| KIRLFER    | Strong Trend |
| IEX        | Strong Trend |
| VOLTAS     | Strong Trend |
| ALKYLAMINE | Weak Trend   |
| RELIANCE   | Weak Trend   |
| MINDTREE   | Weak Trend   |

Following stocks are no longer BUY:
['BAJAJ_AUTO' 'BRITANNIA' 'CIPLA' 'KOTAKBANK' 'MARUTI' 'RELIANCE'
 'SUNPHARMA']

Following stocks are no longer SELL:
['ANDHRAPET' 'ASIANPAINT' 'BANKBARODA' 'CESC' 'CROMPTON' 'EXIDEIND' 'FSL'
 'GODREJCP' 'GODREJPROP' 'GRASIM' 'HCLTECH' 'HINDPETRO' 'IDFC' 'INDIACEM'
 'INFY' 'JINDALSTEL' 'JUBLFOOD' 'LUXIND' 'NMDC' 'PEL' 'SHREECEM'
 'TATACHEM' 'TATASTEEL' 'TECHM' 'TNPETRO' 'UBL' 'ULTRACEMCO' 'UPL'
 'UTIAMC' 'WIPRO' 'ZEEL']


Following stocks oversold(RSI <25):
[]

Following stocks overbrought(RSI >75)::
['BOSCHLTD', 'BRITANNIA']

Rule Engine Summary:
Buy Count: 15
Sell Count: 10
Neutral Count: 94

Rule Engine Output:
| Symbol     | Trend       | Rule        | ADX          |
|------------+-------------+-------------+--------------|
| JUBLFOOD   | BUY         | BUY         | Weak Trend   |
| AUROPHARMA | BUY         | BUY         | Weak Trend   |
| BHARTIARTL | BUY         | BUY         | Weak Trend   |
| INDUSINDBK | BUY         | BUY         | Weak Trend   |
| NAUKRI     | BUY         | NEUTRAL     | Weak Trend   |
| SUZLON     | NEUTRAL     | NEUTRAL     | Weak Trend   |
| ABB        | NEUTRAL     | NEUTRAL     | Weak Trend   |
| SIEMENS    | NEUTRAL     | NEUTRAL     | Weak Trend   |
| PAYTM      | NEUTRAL     | NEUTRAL     | Weak Trend   |
| ADANIGREEN | NEUTRAL     | NEUTRAL     | Weak Trend   |
| BIOCON     | NEUTRAL     | NEUTRAL     | Weak Trend   |
| HINDZINC   | NEUTRAL     | NEUTRAL     | Strong Trend |
| OIL        | NEUTRAL     | NEUTRAL     | Strong Trend |
| BAJAJHLDNG | NEUTRAL     | NEUTRAL     | Weak Trend   |
| GODREJPROP | NEUTRAL     | NEUTRAL     | Weak Trend   |
| BPCL       | NEUTRAL     | NEUTRAL     | Weak Trend   |
| LUXIND     | NEUTRAL     | NEUTRAL     | Weak Trend   |
| TATACONSUM | NEUTRAL     | NEUTRAL     | Weak Trend   |
| CESC       | NEUTRAL     | NEUTRAL     | Weak Trend   |
| ADANIPORTS | NEUTRAL     | NEUTRAL     | Weak Trend   |
| KRBL       | NEUTRAL     | NEUTRAL     | Weak Trend   |
| HINDPETRO  | NEUTRAL     | NEUTRAL     | Weak Trend   |
| BAJFINANCE | NEUTRAL     | NEUTRAL     | Weak Trend   |
| ZEEL       | NEUTRAL     | NEUTRAL     | Weak Trend   |
| GLENMARK   | NEUTRAL     | NEUTRAL     | Weak Trend   |
| PPL        | NEUTRAL     | NEUTRAL     | Weak Trend   |
