Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Industrials,SUZLON,NEUTRAL,NEUTRAL,6.65,6.75,13.1,5.7,,-5.0763364,,,,0.04626,2022-02-02 00:00:00,STRONG_SELL - 1|17|8,STRONG_BUY - 17|1|8,STRONG_SELL - 1|16|9,SELL - 4|13|9,Bearish : 25.66,SELL,SELL,Oversold : 6.85,Oversold : 7.18,Weak Trend : 13.25,Bearish : -155.23,Bearish : -0.68,Bearish : -0.55,Bearish : -0.31,Bearish : -0.31,26.38,6.92,-0.251,-1.31,SUZLON ENERGY LTD,Watchlist,1,,,6.65,none,0.404,,,,,,
Financial Services,GEOJITFSL,SELL,STRONG_SELL,49.55,51.4,102.7,43.35,8.217247,,,1.89578,-0.045,0.02572,,STRONG_SELL - 0|17|9,SELL - 2|15|9,SELL - 2|16|8,SELL - 2|14|10,Bearish : 44.09,SELL,SELL,Bullish : 32.29,Bullish : 43.42,Strong Trend : 28.38,Neutral : -43.13,Bullish : 1.55,Bearish : -3.55,Bullish : 0.68,Bullish : 1.0,44.95,55.22,6.03,,GEOJIT FINANCIAL S,Portfolio,0,,,0.0,none,35.473,-0.052,60.83,0.119569995,0.21653,10.345,60.83
Basic Materials,ALKYLAMINE,STRONG_SELL,STRONG_SELL,2540.9,2543.8,4749.0,2506.2,41.995567,,,14.500618,-0.457,0.023120001,,STRONG_SELL - 0|16|10,SELL - 4|17|5,STRONG_SELL - 1|17|8,SELL - 4|14|8,Bearish : 39.78,SELL,SELL,Bullish : 26.03,Bullish : 26.17,Weak Trend : 12.35,Bearish : -90.1,Bearish : -67.54,Bearish : -76.05,Bearish : -30.48,Bearish : -29.83,41.19,2611.91,60.504,,ALKYL AMINES,Watchlist,0,,,0.0,none,28.352,-0.457,,,,3.978,
Industrials,ABB,NEUTRAL,NEUTRAL,2367.5,2275.45,2487.85,1618.05,129.01907,66.954185,3.01,13.494577,2.27,0.11693,,STRONG_BUY - 17|0|9,SELL - 3|14|9,NEUTRAL - 8|8|10,STRONG_BUY - 16|0|10,Bullish  : 65.15,BUY,BUY,Bullish : 68.75,Bullish : 55.83,Weak Trend : 13.41,Bullish  : 195.85,Bullish : 23.34,Bullish : 79.6,Bullish : 10.89,Bullish : 2.05,53.42,2213.95,18.35,35.36,ABB INDIA LTD,Portfolio,1,,3.5,2367.5,hold,126.712,2.274,1.657,0.03637,0.13918,0.906,1.336
Consumer Cyclical,MINDACORP,STRONG_BUY,STRONG_BUY,210.0,202.1,287.0,114.35,46.25551,26.25,,4.159734,0.412,0.1273,,STRONG_BUY - 16|1|9,STRONG_BUY - 17|1|8,SELL - 3|14|9,BUY - 15|2|9,Bullish  : 72.21,BUY,BUY,Overbrought : 95.78,Overbrought : 95.16,Strong Trend : 25.89,Bullish  : 130.74,Bullish : 17.15,Bullish : 19.2,Bullish : 5.57,Bullish : 2.36,65.2,194.82,4.54,8,MINDA CORP LTD,Watchlist,1,,1.6,210.0,buy,13.945,-0.026,,,,42.238,
Basic Materials,COROMANDEL,STRONG_BUY,STRONG_BUY,981.75,965.3,999.9,709.35,21.433718,17.336218,1.03,4.9325495,0.859,0.24324,,STRONG_BUY - 16|1|9,STRONG_BUY - 16|1|9,NEUTRAL - 8|8|10,BUY - 16|2|8,Bullish  : 63.16,BUY,BUY,Bullish : 79.13,Bullish : 74.28,Weak Trend : 11.59,Bullish  : 161.55,Bullish : 25.62,Bullish : 42.5,Bullish : 10.36,Bullish : 5.93,49.47,938.67,45.804,56.63,COROMANDEL INTL,Watchlist,1,,1.7,981.75,buy,59.715,0.859,1.868,0.12247,0.26561,6.212,0.518
Industrials,SIEMENS,NEUTRAL,NEUTRAL,2516.15,2407.1,2576.85,1920.0,82.17341,52.47445,2.66,8.658971,-0.152,0.11382,2022-02-10 00:00:00,STRONG_BUY - 16|1|9,SELL - 4|12|10,BUY - 13|6|7,STRONG_BUY - 16|0|10,Bullish  : 74.76,BUY,BUY,Overbrought : 93.07,Overbrought : 88.09,Weak Trend : 16.13,Overbought : 231.21,Bullish : 66.6,Bullish : 142.9,Bullish : 29.2,Bullish : 13.12,59.1,2345.29,30.62,47.95,SIEMENS INDIA LTD,Watchlist,0,,2.4,0.0,buy,145.948,-0.152,,,,2.142,
Consumer Cyclical,MARUTI,NEUTRAL,STRONG_BUY,8459.8,8402.6,9050.0,6536.55,60.85093,32.76833,0.75,4.888837,0.511,0.27701,2022-04-25 00:00:00,STRONG_BUY - 16|1|9,BUY - 15|1|10,BUY - 14|4|8,BUY - 15|2|9,Bullish  : 62.63,SELL,BUY,Bullish : 58.1,Bullish : 63.27,Strong Trend : 30.37,Neutral : 44.65,Bullish : 319.17,Bullish : 35.8,Bullish : 141.58,Bullish : 151.6,42.81,8296.86,139.025,258.17,MARUTI SUZUKI IND,Watchlist,1,,2.2,8459.8,buy,236.452,0.511,0.986,0.03993,0.07195,0.764,0.539
Consumer Cyclical,BOSCHLTD,OVERBROUGHT,STRONG_BUY,15984.95,15686.3,19250.0,12932.45,36.27321,,,4.616392,0.275,0.17569,,STRONG_BUY - 16|0|10,STRONG_BUY - 16|1|9,SELL - 2|15|9,STRONG_BUY - 16|0|10,Overbought : 77.61,BUY,BUY,Overbrought : 97.83,Overbrought : 94.15,Strong Trend : 36.6,Bullish  : 121.82,Bullish : 1348.37,Bullish : 1367.7,Bullish : 507.34,Bullish : 357.93,64.33,15306.1,440.682,,BOSCH LTD,Portfolio,50,,,799247.5,none,1084.227,0.275,,,,0.739,
Consumer Cyclical,HEROMOTOCO,STRONG_BUY,STRONG_BUY,2769.0,2763.8,2954.45,2146.85,19.067358,,,3.520151,-0.31,0.39626998,,STRONG_BUY - 16|0|10,STRONG_BUY - 16|0|10,BUY - 13|4|9,BUY - 14|3|9,Bullish  : 66.39,BUY,BUY,Bullish : 71.34,Bullish : 73.3,Strong Trend : 26.72,Bullish  : 55.17,Bullish : 110.23,Bullish : 9.0,Bullish : 45.7,Bullish : 43.19,48.4,2695.92,145.222,,HERO MOTOCORP LTD,Watchlist,1,,,2769.0,none,292.574,-0.31,,,,3.887,
Energy,ADANIENT,STRONG_BUY,STRONG_BUY,2268.35,2232.2,2420.95,1332.75,246.07832,,,13.420284,,0.1104,,STRONG_BUY - 16|0|10,STRONG_BUY - 16|0|10,SELL - 4|13|9,BUY - 14|2|10,Bullish  : 65.37,BUY,BUY,Overbrought : 89.94,Overbrought : 82.45,Weak Trend : 15.0,Bullish  : 137.35,Bullish : 60.58,Bullish : 85.5,Bullish : 26.36,Bullish : 15.5,54.54,2151.46,9.218,,ADANI ENTERPRISES,Watchlist,1000,,,2268350.0,none,32.081,,,,,139.606,
